tamamen, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
bütünüyle, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
etraflıca, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
tamamıyla, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
adamakıllı, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
büsbütün, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
hepten, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
iyicene, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
bütünlemesine, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
derinlemesine, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
etraflı, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
eksiksiz, 0.25, -0.3, -0.95, -2.04, -0.13, -0.17 
kesinlikle, 0.18, -0.16, 0.25, 0.07, -0.29, 0.75 	
mutlaka, 0.18, -0.16, 0.25, 0.07, -0.29, 0.75 	
kesinkes, 0.18, -0.16, 0.25, 0.07, -0.29, 0.75 	
herhalde, 0.18, -0.16, 0.25, 0.07, -0.29, 0.75 			
kesin, 0.18, -0.16, 0.25, 0.07, -0.29, 0.75 	
tabi, 0.33, 0.33, 0.93, -0.55, -0.2, -0.2 
tabiki, 0.33, 0.33, 0.93, -0.55, -0.2, -0.2 
elbette, 0.33, 0.33, 0.93, -0.55, -0.2, -0.2 
özellikle, 1.04, -0.69,1.25, -0.42, 0.04, 0.72 	
mahsus, 1.04, -0.69, 1.25, -0.42, 0.04, 0.72 
bahusus	, 1.04, -0.69,	1.25, -0.42, 0.04, 0.72 
hususuyla, 1.04, -0.69,	1.25, -0.42, 0.04, 0.72 	
bilhassa, 1.04, -0.69,	1.25, -0.42, 0.04, 0.72 	
hele, 1.04, -0.69, 1.25, -0.42, 0.04, 0.72 
aşırı, -0.8, -0.69, 0.2, 1.48, 0, 0.05 
inanılmaz, 0.91, -0.83,	0.5, 1.71, -0.19, 0.43 
olağanüstü, 0.91, -0.83, 0.5, 1.71, -0.19, 0.43 
sadece, 0.9, -1.17, 0.17, 1.4, -0.36, 0.09 
yalnızca, 0.9, -1.17, 0.17, 1.4, -0.36, 0.09 
çok, 0.6, -0.8, 0, 0.1, 0.14, -0.8 
epey, 0.6, -0.8,0, 0.1, 0.14, -0.8 
hayli, 0.6, -0.8,0, 0.1, 0.14, -0.8 	
bayağı	, 0.6, -0.8,0,0.1, 0.14, -0.8 
çoğunlukla,0.6, -0.8, 0, 0.1, 0.14, -0.8 	
çokça,0.6, -0.8, 0, 0.1, 0.14, -0.8 
olabildiğince, 0.6, -0.8, 0, 0.1, 0.14, -0.8 
oldukça,0.6, -0.8, 0, 0.1, 0.14, -0.8 
gerçekten, 0.2, -0.65, -0.3,	0.05, -0.11, 0.11 	
cidden, 0.2, -0.65, -0.3, 0.05, -0.11, 0.11 
hakikaten, 0.2, -0.65, -0.3,	0.05,	-0.11,	0.11 	
sahiden, 0.2, -0.65, -0.3, 0.05, -0.11, 0.11 
filhakika, 0.2, -0.65, -0.3,	0.05, -0.11, 0.11 	
sahi, 0.2, -0.65, -0.3, 0.05, -0.11, 0.11 
bazı, 0.5, -1.44, 0.15,	-0.08,	-1, 0.12 
bazen, 0.5, -1.44, 0.15, -0.08,	-1, 0.12 
kısmen, 0.5, -1.44, 0.15, -0.08, -1, 0.12 
birtakım, 0.5, -1.44, 0.15, -0.08, -1, 0.12 
kimi, 0.5, -1.44, 0.15,	-0.08,	-1, 0.12  
hafifçe	, -0.32, -0.17,	-0.3, -0.07, -0.84, 0.25 
yavaşca	, -0.32, -0.17,	-0.3, -0.07, -0.84, 0.25 
az, -0.32, -0.17, -0.3, -0.07, -0.84, 0.25 
azıcık, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
azcık, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
ılıcak, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
biraz, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
birazcık, -0.32, -0.17,	-0.3, -0.07, -0.84, 0.25 	
küçümen, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
bellibelirsiz, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
usulca, -0.32,	-0.17,	-0.3, -0.07, -0.84, 0.25 
aksine, 0.33,	0.61,	0.17,	0.27,	-0.49,	0.47 
bilakis, 0.33,	0.61,	0.17,	0.27,	-0.49,	0.47 
tersine, 0.33,	0.61,	0.17,	0.27,	-0.49,	0.47 
fazlasıyla, 0.6, -0.5,	-0.25,	0.17,	0.15,	0.67 
ziyadesiyle, 0.6, -0.5,	-0.25,	0.17,	0.15,	0.67 
pek, 0.6, -0.5, -0.25, 0.17, 0.15, 0.67 
maşallah, -0.28, 0, -0.25, 0, 0.44, 0
asla, 0, -0.11, 0, -0.17, 0, 0.69 
katiyen, 0, -0.11, 0, -0.17, 0, 0.69 
